HOW_CcmuNumber,HOW_DateActive,HOW_DateInactive,HOW_IdNumber,HOW_ChangedBy,HOW_DateChanged
38A001,11/20/2001 00:00:00,12/31/2009 00:00:00,1407,carolyn,2002-01-18 00:00:00.000000
38A001,01/01/2010 00:00:00,12/31/2999 00:00:00,2044,Admin,2010-09-23 00:00:00.000000
38A025,11/15/1993 00:00:00,10/30/2001 00:00:00,127,,
38A026,04/01/1995 00:00:00,12/31/1998 00:00:00,69,,
38A026,01/01/1999 00:00:00,12/31/1999 00:00:00,19,,
38A026,01/01/2000 00:00:00,03/31/2013 00:00:00,442,carolyn,2001-01-24 00:00:00.000000
38A026,04/01/2013 00:00:00,12/31/2999 00:00:00,2496,Admin,2013-04-01 00:00:00.000000
38A027,10/26/1993 00:00:00,01/23/2002 00:00:00,41,,
38A028,01/01/2000 00:00:00,03/31/2010 00:00:00,750,,
38A028,04/01/2010 00:00:00,12/31/2010 00:00:00,2090,Admin,2010-05-14 00:00:00.000000
38A028,01/01/2011 00:00:00,12/31/2999 00:00:00,2173,Admin,2010-12-30 00:00:00.000000
38A029,02/07/2001 00:00:00,08/12/2002 00:00:00,559,,
38E004,12/09/1994 00:00:00,03/03/1998 00:00:00,69,,
38E004,03/04/1998 00:00:00,10/16/2000 00:00:00,19,,
38E008,10/06/1994 00:00:00,12/02/1999 00:00:00,128,,
38E018,11/24/1993 00:00:00,06/30/2012 00:00:00,129,,
38E018,07/01/2012 00:00:00,12/31/2999 00:00:00,2360,Admin,2012-06-25 00:00:00.000000
38E024,01/20/1994 00:00:00,12/31/2999 00:00:00,130,,
38E025,12/08/1993 00:00:00,06/29/2004 00:00:00,131,,
38E028,10/26/1993 00:00:00,01/01/1997 00:00:00,132,,
38E030,12/01/1993 00:00:00,12/31/1998 00:00:00,133,,
38E030,01/01/1999 00:00:00,08/16/2000 00:00:00,33,,
38E032,12/06/1994 00:00:00,12/31/1998 00:00:00,34,,
38E032,01/01/1999 00:00:00,05/01/2004 00:00:00,33,,
38E032,05/02/2004 00:00:00,03/31/2010 00:00:00,16,Brett,2004-04-30 00:00:00.000000
38E032,04/01/2010 00:00:00,12/31/2999 00:00:00,2085,Admin,2010-04-19 00:00:00.000000
38E040,11/17/1994 00:00:00,12/31/2999 00:00:00,134,,
38E041,12/29/1994 00:00:00,08/01/1999 00:00:00,135,,
38E064,11/19/1993 00:00:00,01/13/1999 00:00:00,136,,
38E075,12/06/1993 00:00:00,12/31/2999 00:00:00,137,,
38E076,11/22/1993 00:00:00,08/08/2003 00:00:00,138,,
38E082,11/24/1993 00:00:00,06/05/2001 00:00:00,139,,
38E083,08/26/1993 00:00:00,06/15/1999 00:00:00,140,,
38E088,12/15/1993 00:00:00,11/05/2003 00:00:00,141,,
38E089,12/15/1993 00:00:00,04/06/1999 00:00:00,142,,
38E104,11/10/1993 00:00:00,04/09/2000 00:00:00,143,,
38E113,04/06/2005 00:00:00,07/10/2012 00:00:00,1386,Admin,2005-04-05 00:00:00.000000
38E119,12/29/1994 00:00:00,06/07/2001 00:00:00,210,,
38E119,06/08/2001 00:00:00,09/01/2003 00:00:00,655,carolyn,2001-06-07 00:00:00.000000
